,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.09944,0.09838,0.10178,0.10068,0.0976,0.09914,0.09976,0.0977,0.1007,0.10008,0.10072,0.0979,0.0981,0.09954,0.09896,0.1015,0.10094,0.09958,0.09908,0.09908,0.0988,0.09988,0.09982,0.0985,0.09758,0.1004,0.09888,0.10072,0.09784,0.10034,0.09844,0.09854,0.09844,0.10078,0.10178,0.09928,0.1001,0.09854,0.09748,0.09928,0.0991,0.09852,0.09994,0.09536,0.09792,0.09902,0.09986,0.0979,0.09864,0.10068,0.09892,0.09774,0.09856,0.09974,0.09654,0.09826,0.09884,0.09756,0.09942,0.09898,0.09824,0.1007,0.09828,0.09868,0.09742,0.09762,0.09756,0.09872,0.09932,0.09934,0.09946,0.10054,0.09794,0.09706,0.09956,0.09942,0.10094,0.10052,0.0963,0.09866,0.09874,0.09856,0.09868,0.09708,0.09862,0.09924,0.09918,0.09952,0.09908,0.10022,0.09936,0.09804,0.09896,0.09768,0.09642,0.09928,0.0993,0.09838,0.09644,0.0987
1,0.23966,0.33298,0.38028,0.40216,0.41934,0.43172,0.44304,0.45182,0.46,0.47216,0.47882,0.4874,0.49116,0.49842,0.50774,0.50862,0.51584,0.51578,0.52396,0.52796,0.5325,0.53902,0.54018,0.54246,0.54408,0.54616,0.5554,0.55534,0.5555,0.56106,0.56164,0.56476,0.56452,0.56864,0.56814,0.57274,0.57404,0.5753,0.57652,0.57928,0.58198,0.58022,0.5848,0.5852,0.58328,0.58788,0.5889,0.58862,0.5882,0.59186,0.5974,0.59408,0.59298,0.59714,0.59514,0.5967,0.60084,0.59976,0.6031,0.60304,0.60122,0.60362,0.6054,0.60752,0.6071,0.6075,0.6107,0.60778,0.61024,0.60796,0.61386,0.61084,0.60866,0.61044,0.61316,0.6146,0.61438,0.61736,0.6143,0.6151,0.61538,0.61874,0.61856,0.6179,0.61816,0.62004,0.62228,0.61912,0.62164,0.61862,0.61974,0.62494,0.62324,0.6229,0.62142,0.6217,0.62374,0.62464,0.62598,0.62468
2,0.09844,0.09784,0.09818,0.09708,0.10244,0.098,0.09888,0.09892,0.10048,0.09784,0.10058,0.09916,0.10028,0.09954,0.09946,0.09692,0.09806,0.09918,0.0979,0.09914,0.09962,0.0994,0.09858,0.09892,0.09594,0.09808,0.09978,0.09674,0.09726,0.09838,0.0987,0.09772,0.10022,0.09952,0.0954,0.09962,0.09834,0.10044,0.10084,0.09952,0.09816,0.09878,0.0999,0.09702,0.10186,0.09706,0.10024,0.09758,0.09796,0.09756,0.09932,0.0997,0.09976,0.0978,0.10238,0.09896,0.09994,0.10172,0.09892,0.09994,0.09904,0.10026,0.09788,0.09764,0.0975,0.09686,0.09866,0.09808,0.10208,0.09804,0.0995,0.09834,0.09914,0.09994,0.10024,0.09718,0.09922,0.0987,0.09854,0.09928,0.10012,0.0985,0.09792,0.09864,0.09764,0.10034,0.10078,0.0988,0.1001,0.09982,0.09964,0.10066,0.09936,0.10068,0.09998,0.09898,0.09842,0.09926,0.09866,0.0996
3,0.10038,0.10194,0.23094,0.31904,0.36636,0.3912,0.40592,0.41764,0.42868,0.43704,0.44292,0.45052,0.46064,0.46692,0.47084,0.47696,0.48178,0.48508,0.49018,0.49656,0.49676,0.50452,0.50362,0.5104,0.51266,0.51716,0.52356,0.52314,0.52792,0.53208,0.53118,0.53674,0.5375,0.5376,0.54292,0.5443,0.54724,0.54646,0.5492,0.55034,0.5553,0.55676,0.55944,0.55812,0.5623,0.56096,0.56346,0.56714,0.56634,0.56592,0.57172,0.57036,0.57324,0.57252,0.57474,0.57422,0.57944,0.57956,0.5796,0.5827,0.5807,0.58352,0.58206,0.58272,0.5854,0.58556,0.5902,0.58866,0.5898,0.59052,0.5935,0.59208,0.59286,0.5959,0.59354,0.5946,0.59694,0.59964,0.6015,0.60036,0.6029,0.60474,0.60424,0.60588,0.60252,0.60534,0.60432,0.60812,0.60548,0.60908,0.61044,0.61074,0.60906,0.61438,0.61426,0.61336,0.6155,0.6102,0.61662,0.6137
4,0.24102,0.33036,0.36648,0.3798,0.39778,0.40814,0.41486,0.42752,0.43372,0.44244,0.44824,0.45086,0.46088,0.45996,0.4691,0.4678,0.47538,0.47782,0.48488,0.48858,0.49018,0.49234,0.49818,0.50188,0.5051,0.50894,0.5106,0.51444,0.5146,0.51856,0.51908,0.5216,0.52298,0.52878,0.52924,0.53318,0.53294,0.53384,0.53702,0.5427,0.53856,0.54048,0.5429,0.54446,0.5485,0.55014,0.54718,0.55402,0.55618,0.55342,0.55546,0.5579,0.5564,0.55878,0.56084,0.56284,0.561,0.56374,0.56892,0.56258,0.56576,0.56844,0.56836,0.56686,0.57262,0.56806,0.56984,0.5694,0.57026,0.57312,0.5757,0.57288,0.57522,0.5774,0.57632,0.57926,0.57732,0.57904,0.5785,0.5791,0.58116,0.58082,0.57882,0.58036,0.58478,0.58358,0.58474,0.58212,0.58322,0.5846,0.58534,0.58562,0.58508,0.58714,0.58564,0.5881,0.58744,0.58874,0.5904,0.58842
