,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.09836,0.09876,0.1014,0.09992,0.09876,0.09834,0.09758,0.10004,0.09984,0.09872,0.09734,0.09676,0.09984,0.10054,0.10026,0.09702,0.0989,0.09558,0.10026,0.0999,0.09876,0.09846,0.09894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.09718,0.09812,0.0971,0.09772,0.09614,0.09892,0.09624,0.09686,0.0968,0.09684,0.09702,0.09696,0.09752,0.09864,0.09918,0.09852,0.09692,0.0994,0.09984,0.09666,0.09942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.27766,0.41948,0.466,0.4942,0.51232,0.5228,0.53184,0.53878,0.54744,0.5512,0.55958,0.5647,0.57072,0.57364,0.5785,0.58438,0.58936,0.59526,0.601,0.60372,0.6129,0.61786,0.6241,0.62982,0.6347,0.64076,0.64626,0.64802,0.65522,0.65848,0.66596,0.67034,0.67538,0.68006,0.68324,0.6877,0.69048,0.69538,0.69892,0.70094,0.70626,0.7113,0.71276,0.7164,0.72174,0.72294,0.72498,0.72982,0.73468,,,,,,,,,,,
3,0.28926,0.41332,0.47104,0.50514,0.53514,0.56094,0.58288,0.6016,0.62476,0.64608,0.66114,0.67964,0.69052,0.70756,0.71968,0.7304,0.73946,0.7516,0.7598,0.76836,0.77778,0.78192,0.79108,0.79936,0.8048,0.80952,0.81768,0.82376,0.82364,0.83094,0.83482,0.83976,0.84124,0.8469,0.85042,0.85178,0.85758,0.85776,0.8602,0.86652,0.86372,0.86684,0.8731,0.8742,0.87934,0.87688,0.87972,0.8798,0.88304,0.88532,0.8874,0.89138,0.88998,0.8902,0.89382,0.89334,0.89696,0.89446,,
4,0.27246,0.40178,0.4458,0.47452,0.49764,0.5169,0.53138,0.54362,0.55272,0.56218,0.57582,0.58426,0.59518,0.60494,0.61386,0.62214,0.62982,0.63614,0.64746,0.6534,0.66488,0.6709,0.67592,0.68288,0.69132,0.69786,0.70364,0.70962,0.7141,0.72108,0.7259,0.73296,0.73462,0.74308,0.74536,0.7528,0.7555,0.76128,0.76268,0.77052,0.7727,0.77666,0.78122,0.78242,0.78368,0.7898,0.79208,0.79734,0.79918,0.79798,0.80258,0.80292,0.8045,0.80982,0.8119,0.81478,0.81466,0.81704,0.81856,0.81916
