,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.30214,0.4377,0.48786,0.52492,0.55408,0.57858,0.59808,0.61888,0.6364,0.65206,0.66432,0.68042,0.6911,0.70336,0.71178,0.71846,0.72802,0.7377,0.74582,0.75298,0.76068,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.09738,0.09898,0.0977,0.09744,0.0966,0.0989,0.09784,0.09944,0.0978,0.09796,0.0981,0.0967,0.0973,0.0963,0.09656,0.09804,0.09766,0.09786,0.09824,0.09966,0.0984,0.09886,0.09592,0.09884,0.09624,0.09546,0.09918,0.09564,0.09794,0.09798,0.09828,0.09902,0.09658,0.0975,0.09662,0.09702,0.09888,0.09664,0.0981,0.09814,0.09806,0.09876,0.09842,0.0962,0.09854,0.09918,0.0992
2,0.09768,0.09934,0.09582,0.09784,0.09872,0.09852,0.09864,0.0989,0.0973,0.09754,0.09806,0.09772,0.09674,0.09764,0.09604,0.09942,0.098,0.09784,0.09832,0.1006,0.09834,0.09778,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.09854,0.09784,0.0979,0.098,0.09716,0.09814,0.09698,0.09946,0.099,0.09612,0.09892,0.09742,0.09924,0.0989,0.09992,0.09808,0.09724,0.09784,0.0993,0.10016,0.09828,0.09798,0.09862,0.09998,0.09914,0.09842,0.0967,0.09958,0.09774,0.09806,0.09718,,,,,,,,,,,,,,,,
4,0.09648,0.0955,0.09698,0.09798,0.09698,0.09464,0.09904,0.0986,0.09802,0.0986,0.09782,0.097,0.09934,0.09856,0.09834,0.09524,0.09662,0.09744,0.09814,0.09702,0.09788,0.0972,0.0981,,,,,,,,,,,,,,,,,,,,,,,,
5,0.24274,0.33854,0.38452,0.40338,0.42152,0.43542,0.44702,0.45536,0.46336,0.4721,0.48056,0.48692,0.49906,0.50034,0.50518,0.513,0.51418,0.52236,0.52686,0.52844,0.53512,,,,,,,,,,,,,,,,,,,,,,,,,,
